acl 2.2.53-3
adobe-source-code-pro-fonts 2.032ro+1.052it+1.012var-1
adwaita-icon-theme 3.38.0-1
alsa-lib 1.2.4-3
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
aom 2.0.1-1
archlinux-keyring 20201210-1
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atk 2.36.0-1
attr 2.4.48-3
audit 2.8.5-9
autoconf 2.70-1
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-3
base 2-2
bash 5.1.004-1
bdf-unifont 13.0.03-1
binutils 2.35.1-1
bison 3.7.2-1
bluez-libs 5.55-1
brotli 1.0.9-4
bzip2 1.0.8-4
ca-certificates 20181109-4
ca-certificates-mozilla 3.60-1
ca-certificates-utils 20181109-4
cairo 1.17.4-3
cantarell-fonts 1:0.301-1
chromium 87.0.4280.141-1
cmake 3.19.2-1
colord 1.4.5-1
coreutils 8.32-1
cryptsetup 2.3.4-1
curl 7.74.0-1
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dconf 0.38.0-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
diffutils 3.7-3
dosfstools 4.1-3
e2fsprogs 1.45.6-3
efibootmgr 17-2
efivar 37-4
elfutils 0.182-1
expat 2.2.10-2
fakeroot 1.25.3-1
feh 3.6.1-1
ffmpeg 2:4.3.1-3
file 5.39-1
filesystem 2020.09.03-1
findutils 4.7.0-2
flac 1.3.3-2
flex 2.6.4-3
fontconfig 2:2.13.91+48+gfcb0420-2
freetype2 2.10.4-1
fribidi 1.0.10-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.2.0-4
gcc-libs 10.2.0-4
gdbm 1.19-1
gdk-pixbuf2 2.42.2-1
gettext 0.21-1
giflib 5.2.1-2
git 2.30.0-1
glib-networking 2.66.0-1
glib2 2.66.4-1
glibc 2.32-5
gmp 6.2.1-1
gnu-free-fonts 20120503-8
gnupg 2.2.25-1
gnutls 3.7.0-1
go 2:1.15.6-1
gpgme 1.15.0-2
